ID,bottleneck,timepoint,cfu,raw,dilution
1,p8,t2,9.60E+06,96,1.00E+05
2,p8,t2,5.90E+07,59,1.00E+06
3,p8,t2,1.46E+08,146,1.00E+06
1,p9,t2,4.50E+07,45,1.00E+06
2,p9,t2,3.40E+07,34,1.00E+06
3,p9,t2,3.90E+07,39,1.00E+06
1,p2,t3,6.60E+08,66,1.00E+07
2,p2,t3,5.80E+08,58,1.00E+07
3,p2,t3,1.72E+09,172,1.00E+07
1,p3,t3,6.70E+08,67,1.00E+07
2,p3,t3,4.00E+08,40,1.00E+07
3,p3,t3,1.54E+09,154,1.00E+07
1,p4,t3,2.30E+08,23,1.00E+07
2,p4,t3,2.70E+08,27,1.00E+07
3,p4,t3,1.23E+09,123,1.00E+07
1,p5,t3,1.10E+08,11,1.00E+07
2,p5,t3,1.60E+08,16,1.00E+07
3,p5,t3,2.10E+08,21,1.00E+07
1,p6,t3,2.60E+07,26,1.00E+06
2,p6,t3,6.00E+07,60,1.00E+06
3,p6,t3,8.80E+07,88,1.00E+06
1,p7,t3,2.60E+07,26,1.00E+06
2,p7,t3,3.00E+07,30,1.00E+06
3,p7,t3,8.00E+06,8,1.00E+06
1,p8,t3,3.80E+05,38,1.00E+04
2,p8,t3,4.50E+06,45,1.00E+05
3,p8,t3,3.50E+06,35,1.00E+05
1,p9,t3,0.00E+00,0,1.00E+00
2,p9,t3,8.60E+04,86,1.00E+03
3,p9,t3,0.00E+00,0,1.00E+00
1,p2,t4,4.20E+08,21,20000000
2,p2,t4,3.00E+08,15,20000000
3,p2,t4,1.00E+09,5,200000000
1,p3,t4,2.80E+08,14,20000000
2,p3,t4,8.00E+08,4,200000000
3,p3,t4,4.00E+08,20,20000000
1,p4,t4,2.40E+08,12,20000000
2,p4,t4,3.00E+08,15,20000000
3,p4,t4,3.20E+08,16,20000000
1,p5,t4,1.20E+08,6,20000000
2,p5,t4,1.60E+08,8,20000000
3,p5,t4,1.20E+08,6,20000000
1,p6,t4,2.00E+07,10,2000000
2,p6,t4,3.20E+07,16,2000000
3,p6,t4,3.20E+07,16,2000000
1,p7,t4,2.60E+06,13,200000
2,p7,t4,8.00E+05,4,200000
3,p7,t4,2.00E+06,10,200000
1,p8,t4,4.20E+07,21,2000000
2,p8,t4,0.00E+00,0,1
3,p8,t4,0.00E+00,0,1
1,p9,t4,0.00E+00,0,1
2,p9,t4,0.00E+00,0,1
3,p9,t4,0.00E+00,0,1
1,p2,t5,2.80E+08,27,20000000
2,p2,t5,3.00E+08,20,20000000
3,p2,t5,4.20E+08,7,200000000
1,p3,t5,3.60E+08,21,20000000
2,p3,t5,3.60E+09,21,20000000
3,p3,t5,4.80E+08,27,20000000
1,p4,t5,1.20E+08,17,20000000
2,p4,t5,2.60E+08,15,20000000
3,p4,t5,3.20E+08,20,20000000
1,p5,t5,2.80E+08,14,20000000
2,p5,t5,2.80E+08,8,20000000
3,p5,t5,2.80E+08,16,20000000
1,p6,t5,1.80E+08,12,20000000
2,p6,t5,1.40E+08,8,20000000
3,p6,t5,1.00E+08,6,20000000
1,p7,t5,2.40E+06,18,200000
2,p7,t5,6.00E+06,13,200000
3,p7,t5,3.20E+06,17,20000
1,p8,t5,0.00E+00,0,200
2,p8,t5,0.00E+00,0,200
3,p8,t5,0.00E+00,0,200
1,p9,t5,0.00E+00,0,200
2,p9,t5,0.00E+00,0,200
3,p9,t5,0.00E+00,0,200
